t_values,ir_values,red_values
2.762428,41799.0,60364.0
2.77494,41803.0,60379.0
2.78746,41807.0,60347.0
2.79996,41795.0,60347.0
2.812484,41786.0,60351.0
2.82528,41796.0,60355.0
2.836196,41778.0,60352.0
2.849636,41795.0,60345.0
2.86214,41784.0,60356.0
2.874648,41794.0,60359.0
2.887156,41790.0,60353.0
2.899664,41775.0,60358.0
2.912464,41788.0,60359.0
2.923388,41809.0,60354.0
2.936848,41804.0,60376.0
2.94936,41791.0,60351.0
2.961868,41787.0,60375.0
2.97438,41795.0,60366.0
2.986896,41792.0,60384.0
2.999696,41784.0,60387.0
3.01062,41805.0,60379.0
3.024044,41785.0,60393.0
3.036564,41783.0,60394.0
3.049072,41787.0,60376.0
3.061576,41783.0,60392.0
3.074096,41795.0,60389.0
3.0866,41790.0,60383.0
3.099392,41779.0,60401.0
3.110316,41793.0,60400.0
3.123752,41797.0,60383.0
3.136264,41789.0,60417.0
3.14878,41793.0,60406.0
3.161288,41809.0,60428.0
3.173808,41795.0,60424.0
3.186608,41803.0,60425.0
3.197532,41792.0,60424.0
3.210976,41800.0,60444.0
3.223484,41800.0,60425.0
3.236,41810.0,60467.0
3.24852,41813.0,60467.0
3.261024,41808.0,60458.0
3.273828,41812.0,60484.0
3.284744,41795.0,60462.0
3.298176,41814.0,60472.0
3.310704,41791.0,60492.0
3.3232,41808.0,60486.0
3.335712,41806.0,60502.0
3.348228,41800.0,60507.0
3.360728,41809.0,60498.0
3.373536,41821.0,60505.0
3.38446,41795.0,60477.0
3.3979,41801.0,60471.0
3.410416,41804.0,60460.0
3.422924,41795.0,60429.0
3.435436,41788.0,60433.0
3.447956,41783.0,60416.0
3.460748,41780.0,60421.0
3.471676,41790.0,60400.0
3.485116,41800.0,60404.0
3.49762,41786.0,60408.0
3.510132,41782.0,60413.0
3.522648,41801.0,60409.0
3.535156,41804.0,60398.0
3.547952,41791.0,60393.0
3.558876,41779.0,60392.0
3.572324,41775.0,60381.0
3.584832,41776.0,60378.0
3.59734,41791.0,60368.0
3.609848,41788.0,60383.0
3.622356,41774.0,60374.0
3.634868,41801.0,60392.0
3.647672,41772.0,60386.0
3.658596,41790.0,60382.0
3.672052,41792.0,60386.0
3.684564,41795.0,60405.0
3.697072,41811.0,60394.0
3.709588,41785.0,60374.0
3.722096,41784.0,60379.0
3.734908,41787.0,60378.0
3.745828,41792.0,60380.0
3.759248,41783.0,60371.0
3.771772,41782.0,60367.0
3.78428,41789.0,60362.0
3.796784,41783.0,60351.0
3.809308,41783.0,60365.0
3.822092,41773.0,60364.0
3.83302,41775.0,60366.0
3.846464,41770.0,60367.0
3.858968,41766.0,60372.0
3.87148,41779.0,60362.0
3.883988,41783.0,60351.0
3.8965,41786.0,60363.0
3.90902,41787.0,60350.0
3.921816,41771.0,60353.0
3.932744,41751.0,60364.0
3.946184,41764.0,60354.0
3.958692,41772.0,60361.0
3.971208,41763.0,60372.0
3.983716,41775.0,60370.0
3.99622,41769.0,60385.0
4.00902,41767.0,60369.0
4.019936,41782.0,60378.0
4.033376,41756.0,60391.0
4.045892,41784.0,60403.0
4.058396,41760.0,60386.0
4.070908,41784.0,60390.0
4.083416,41787.0,60389.0
4.09592,41763.0,60389.0
